policy,t,price,reward_sum,a0,a1,a2,a3,a4,a5,r0,r1,r2,r3,r4,r5,soc0,soc1,soc2,soc3,soc4,soc5,net0,net1,net2,net3,net4,net5,reward_a,reward_b,fallback_a,fallback_b
noop,0,0.20999999344348907,-16.932124435901642,0.0,0.0,0.0,0.0,0.0,0.0,-1.805299997329712,-5.048999786376953,-0.8530749678611755,-1.3536750078201294,-3.0914249420166016,-4.77964973449707,0.0,0.0,0.0,0.0,0.0,0.0,1.805299997329712,5.048999786376953,0.8530749678611755,1.3536750078201294,3.0914249420166016,4.77964973449707,,,,
noop,1,0.20999999344348907,-6.137200117111206,0.0,0.0,0.0,0.0,0.0,0.0,-0.5807166695594788,-1.6198333501815796,-0.31378334760665894,-0.9127333164215088,-0.6816166639328003,-2.0285167694091797,0.0,0.0,0.0,0.0,0.0,0.0,0.5807166695594788,1.6198333501815796,0.31378334760665894,0.9127333164215088,0.6816166639328003,2.0285167694091797,,,,
noop,2,0.20999999344348907,-5.09703329205513,0.0,0.0,0.0,0.0,0.0,0.0,-0.5804833173751831,-1.4427000284194946,-0.41510000824928284,-0.5221166610717773,-0.770883321762085,-1.3657499551773071,0.0,0.0,0.0,0.0,0.0,0.0,0.5804833173751831,1.4427000284194946,0.41510000824928284,0.5221166610717773,0.770883321762085,1.3657499551773071,,,,
noop,3,0.20999999344348907,-6.4189165979623795,0.0,0.0,0.0,0.0,0.0,0.0,-0.5782666802406311,-1.4385499954223633,-0.24469999969005585,-0.4360666573047638,-0.9763166904449463,-2.745016574859619,0.0,0.0,0.0,0.0,0.0,0.0,0.5782666802406311,1.4385499954223633,0.24469999969005585,0.4360666573047638,0.9763166904449463,2.745016574859619,,,,
noop,4,0.20999999344348907,-5.429816782474518,0.0,0.0,0.0,0.0,0.0,0.0,-0.729033350944519,-1.4398167133331299,-0.4632999897003174,-0.635533332824707,-0.6477833390235901,-1.5143500566482544,0.0,0.0,0.0,0.0,0.0,0.0,0.729033350944519,1.4398167133331299,0.4632999897003174,0.635533332824707,0.6477833390235901,1.5143500566482544,,,,
noop,5,0.20999999344348907,-5.5252499878406525,0.0,0.0,0.0,0.0,0.0,0.0,-0.6692500114440918,-1.431316614151001,-0.4492500126361847,-0.4516666531562805,-0.9675499796867371,-1.5562167167663574,0.0,0.0,0.0,0.0,0.0,0.0,0.6692500114440918,1.431316614151001,0.4492500126361847,0.4516666531562805,0.9675499796867371,1.5562167167663574,,,,
noop,6,0.20999999344348907,-5.431300014257431,0.0,0.0,0.0,0.0,0.0,0.0,-0.9123499989509583,-1.4285333156585693,-0.3465000092983246,-0.874666690826416,-0.8126166462898254,-1.0566333532333374,0.0,0.0,0.0,0.0,0.0,0.0,0.9123499989509583,1.4285333156585693,0.3465000092983246,0.874666690826416,0.8126166462898254,1.0566333532333374,,,,
noop,7,0.20999999344348907,-7.521816611289978,0.0,0.0,0.0,0.0,0.0,0.0,-1.2339832782745361,-1.5996999740600586,-0.5594499707221985,-1.2670999765396118,-0.8920000195503235,-1.9695833921432495,0.0,0.0,0.0,0.0,0.0,0.0,1.2339832782745361,1.5996999740600586,0.5594499707221985,1.2670999765396118,0.8920000195503235,1.9695833921432495,,,,
noop,8,0.20999999344348907,-6.035233348608017,0.0,0.0,0.0,0.0,0.0,0.0,-0.9373166561126709,-0.856083333492279,-0.3775666654109955,-0.9997666478157043,-1.1758333444595337,-1.6886667013168335,0.0,0.0,0.0,0.0,0.0,0.0,0.9373166561126709,0.856083333492279,0.3775666654109955,0.9997666478157043,1.1758333444595337,1.6886667013168335,,,,
noop,9,0.20999999344348907,-5.9890501499176025,0.0,0.0,0.0,0.0,0.0,0.0,-0.9947667121887207,-1.0087000131607056,-0.7180166840553284,-1.2570834159851074,-0.5620999932289124,-1.4483833312988281,0.0,0.0,0.0,0.0,0.0,0.0,0.9947667121887207,1.0087000131607056,0.7180166840553284,1.2570834159851074,0.5620999932289124,1.4483833312988281,,,,
noop,10,0.20999999344348907,-3.0491916723549366,0.0,0.0,0.0,0.0,0.0,0.0,-0.9762166738510132,-1.1917833089828491,-0.05782492831349373,-0.19253326952457428,-0.4800167679786682,-0.15081672370433807,0.0,0.0,0.0,0.0,0.0,0.0,-0.9762166738510132,1.1917833089828491,-0.05782492831349373,0.19253326952457428,0.4800167679786682,-0.15081672370433807,,,,
noop,11,0.20999999344348907,-3.4273168090730906,0.0,0.0,0.0,0.0,0.0,0.0,-0.025649989023804665,-1.0197334289550781,-0.36031660437583923,-0.5845000743865967,-0.28006669878959656,-1.1570500135421753,0.0,0.0,0.0,0.0,0.0,0.0,-0.025649989023804665,1.0197334289550781,0.36031660437583923,0.5845000743865967,0.28006669878959656,1.1570500135421753,,,,
noop,12,0.20999999344348907,-3.4957500649616122,0.0,0.0,0.0,0.0,0.0,0.0,-0.480599969625473,-0.2999666929244995,-0.5572332739830017,-0.2735000252723694,-0.007800008170306683,-1.876650094985962,0.0,0.0,0.0,0.0,0.0,0.0,0.480599969625473,0.2999666929244995,0.5572332739830017,0.2735000252723694,0.007800008170306683,1.876650094985962,,,,
noop,13,0.20999999344348907,-2.887116700410843,0.0,0.0,0.0,0.0,0.0,0.0,-0.5603666305541992,-1.0367833375930786,-0.32831668853759766,-0.30838334560394287,-0.13519999384880066,-0.5180667042732239,0.0,0.0,0.0,0.0,0.0,0.0,0.5603666305541992,1.0367833375930786,0.32831668853759766,0.30838334560394287,0.13519999384880066,0.5180667042732239,,,,
noop,14,0.20999999344348907,-4.944149926304817,0.0,0.0,0.0,0.0,0.0,0.0,-2.5889499187469482,-0.10551668703556061,-0.4069499969482422,-0.16010001301765442,-0.4158666431903839,-1.2667666673660278,0.0,0.0,0.0,0.0,0.0,0.0,2.5889499187469482,0.10551668703556061,-0.4069499969482422,-0.16010001301765442,0.4158666431903839,1.2667666673660278,,,,
noop,15,0.20999999344348907,-6.000416725873947,0.0,0.0,0.0,0.0,0.0,0.0,-2.2483668327331543,-0.7888666391372681,-0.09209999442100525,-0.3681333065032959,-1.0144000053405762,-1.4885499477386475,0.0,0.0,0.0,0.0,0.0,0.0,2.2483668327331543,0.7888666391372681,0.09209999442100525,0.3681333065032959,1.0144000053405762,1.4885499477386475,,,,
noop,16,0.5,-7.949899911880493,0.0,0.0,0.0,0.0,0.0,0.0,-1.6506832838058472,-2.0080666542053223,-0.26378333568573,-1.3203999996185303,-0.795116662979126,-1.9118499755859375,0.0,0.0,0.0,0.0,0.0,0.0,1.6506832838058472,2.0080666542053223,0.26378333568573,1.3203999996185303,0.795116662979126,1.9118499755859375,,,,
